name,level,category,refmet_id,biomapper_id,refmet_node,bm_node,refmet_in_kg,arm,n_candidates,bm_rank,refmet_rank,rank1_score,refmet_score,score_gap,outcome,refmet_has_RM,bm_has_RM
1 methylhistidine,MS2,multi-id (biomapper ambiguous set),CHEBI:70958,CHEBI:27596|CHEBI:50599,CHEBI:70958,RM:0162041,True,unfiltered,50,4,1,4.8348,4.8348,0.0,refmet_rank1,False,True
"1,2-propanediol",MS1,divergent (different compound),CHEBI:16997,CHEBI:26288,CHEBI:16997,CHEBI:26288,True,unfiltered,50,29,31,1.359,0.8635,0.4954,refmet_ranked_low,True,False
1-(1-enyl-palmitoyl)-GPC (P-16:0),MS2,parent/child or substring (generic vs specific),CHEBI:140773,CHEBI:73841,CHEBI:140773,RM:0133228,True,unfiltered,50,,,1.4362,,,refmet_absent,False,True
1-(1Z-octadecenyl)-sn-glycero-3-phosphocholine,MS2,divergent (different compound),CHEBI:137889,CHEBI:88779,CHEBI:137889,RM:0133230,True,unfiltered,50,,,0.8946,,,refmet_absent,False,True
1-methylguanidine,MS2,parent/child or substring (generic vs specific),CHEBI:16628,CHEBI:189433,CHEBI:16628,CHEBI:189433,True,unfiltered,50,1,,1.4961,,,refmet_absent,True,False
1-methylxanthine,CURATION,divergent (different compound),CHEBI:68444,CHEBI:68443,CHEBI:68444,CHEBI:68443,True,unfiltered,50,1,2,3.2574,2.4833,0.774,refmet_ranked_low,True,False
12-HHTrE,CURATION,parent/child or substring (generic vs specific),CHEBI:63977,CHEBI:72783,CHEBI:63977,CHEBI:72783,True,unfiltered,50,1,28,2.4114,0.5701,1.8413,refmet_ranked_low,True,False
2'-deoxyguanosine 5'-monophosphate (dGMP),MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:16192,CHEBI:57673,CHEBI:16192,CHEBI:57673,True,unfiltered,50,1,2,1.5796,1.4522,0.1274,refmet_ranked_low,True,False
"2,3-butanediol",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:16982,CHEBI:62064,CHEBI:16982,CHEBI:62064,True,unfiltered,50,1,2,2.4684,2.4571,0.0112,refmet_ranked_low,True,False
"2,3-diphosphoglycerate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:17720,CHEBI:28907,CHEBI:17720,CHEBI:28907,True,unfiltered,50,1,,2.4739,,,refmet_absent,True,False
"2,4-diaminobutyrate",MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:64307,CHEBI:16028,CHEBI:64307,CHEBI:16028,True,unfiltered,50,1,12,1.526,0.6927,0.8333,refmet_ranked_low,False,False
2-Methylmaleate,MS2,divergent (different compound),CHEBI:17626,CHEBI:87810,CHEBI:17626,CHEBI:87810,True,unfiltered,50,1,,0.8283,,,refmet_absent,True,False
2-aminoadipate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:37024,CHEBI:84981,CHEBI:37024,CHEBI:84981,True,unfiltered,50,1,,3.0988,,,refmet_absent,True,False
2-aminooctanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:75145,CHEBI:142420,LM:FA01100056,CHEBI:142420,True,unfiltered,50,1,,4.9137,,,refmet_absent,True,False
